Especie,Tratamiento,Biomasa
Fsolani,Control,4.6
Fsolani,Control,3.1
Fsolani,Control,4.4
Fsolani,Control,5.2
Fsolani,Control,3.7
Fsolani,Propiconazol,1.6
Fsolani,Propiconazol,2.1
Fsolani,Propiconazol,2.2
Fsolani,Propiconazol,3.2
Fsolani,Propiconazol,1.7
Fsolani,Biomolecula,0.98
Fsolani,Biomolecula,1.46
Fsolani,Biomolecula,2.1
Fsolani,Biomolecula,1.8
Fsolani,Biomolecula,1.6
AspNiger,Control,5.42
AspNiger,Control,4.91
AspNiger,Control,4.61
AspNiger,Control,6.2
AspNiger,Control,3.1
AspNiger,Propiconazol,1
AspNiger,Propiconazol,2.44
AspNiger,Propiconazol,1.3
AspNiger,Propiconazol,2.33
AspNiger,Propiconazol,0.64
AspNiger,Biomolecula,0
AspNiger,Biomolecula,0.5
AspNiger,Biomolecula,0.78
AspNiger,Biomolecula,1.3
AspNiger,Biomolecula,0.54
